,nr,nc,shift,acc_mean,acc_std,time_mean,time_std
0,4,4,1.0,1.0,0.0,9.028911590576172e-05,1.5085717755059572e-05
1,4,4,100.0,1.0,0.0,8.006095886230469e-05,1.2006452857984705e-06
2,4,4,10000.0,1.0,0.0,8.749961853027344e-05,1.0469806537428577e-05
3,4,16,1.0,1.0,0.0,7.975101470947266e-05,9.959506308653557e-07
4,4,16,100.0,1.0,0.0,8.108615875244141e-05,3.960117527234303e-06
5,4,16,10000.0,1.0,0.0,7.977485656738282e-05,9.95665217295699e-07
6,4,64,1.0,1.0,0.0,7.987022399902344e-05,1.2570787741149967e-06
7,4,64,100.0,1.0,0.0,8.103847503662109e-05,1.0027761862188858e-06
8,4,64,10000.0,1.0,0.0,8.041858673095703e-05,9.890779739709634e-07
9,4,128,1.0,1.0,0.0,8.072853088378907e-05,1.2980134571853828e-06
10,4,128,100.0,1.0,0.0,8.14676284790039e-05,3.0570617420826563e-06
11,4,128,10000.0,1.0,0.0,8.056163787841796e-05,1.1103755018420235e-06
12,16,4,1.0,1.0,0.0,9.455680847167969e-05,6.041171131940658e-06
13,16,4,100.0,1.0,0.0,9.26971435546875e-05,1.0967254638671874e-06
14,16,4,10000.0,1.0,0.0,9.224414825439453e-05,1.3336530943819995e-06
15,16,16,1.0,1.0,0.0,8.177757263183594e-05,4.08802704798752e-06
16,16,16,100.0,1.0,0.0,8.053779602050782e-05,1.1767351798298898e-06
17,16,16,10000.0,1.0,0.0,8.22305679321289e-05,3.5817581161624747e-06
18,16,64,1.0,1.0,0.0,8.080005645751953e-05,1.2131265862663793e-06
19,16,64,100.0,1.0,0.0,8.082389831542969e-05,2.0454035367514818e-06
20,16,64,10000.0,1.0,0.0,8.029937744140625e-05,9.876401508907308e-07
21,16,128,1.0,1.0,0.0,8.058547973632812e-05,1.430511474609375e-06
22,16,128,100.0,1.0,0.0,8.118152618408203e-05,9.125547031881637e-07
23,16,128,10000.0,1.0,0.0,8.559226989746094e-05,7.906730807553565e-06
24,64,4,1.0,1.0,0.0,9.541511535644531e-05,4.881238311094459e-06
25,64,4,100.0,1.0,0.0,0.00010790824890136719,3.976078558592341e-05
26,64,4,10000.0,1.0,0.0,9.543895721435547e-05,3.807314045845792e-06
27,64,16,1.0,1.0,0.0,9.369850158691406e-05,1.5886622666318589e-06
28,64,16,100.0,1.0,0.0,9.469985961914062e-05,3.461259735862638e-06
29,64,16,10000.0,1.0,0.0,9.357929229736328e-05,1.3912291012663992e-06
30,64,64,1.0,1.0,0.0,8.6212158203125e-05,1.324028337184412e-06
31,64,64,100.0,1.0,0.0,8.71896743774414e-05,3.450156567989605e-06
32,64,64,10000.0,1.0,0.0,8.628368377685546e-05,3.031668252893784e-06
33,64,128,1.0,1.0,0.0,8.535385131835938e-05,1.6099875465520986e-06
34,64,128,100.0,1.0,0.0,8.58306884765625e-05,2.083947504368988e-06
35,64,128,10000.0,1.0,0.0,8.544921875e-05,1.3828277587890625e-06
36,128,4,1.0,1.0,0.0,9.603500366210938e-05,8.085026775043777e-06
37,128,4,100.0,1.0,0.0,9.434223175048828e-05,4.5362854916551614e-06
38,128,4,10000.0,1.0,0.0,9.298324584960938e-05,9.713911432010347e-07
39,128,16,1.0,1.0,0.0,9.553432464599609e-05,4.556290706501912e-06
40,128,16,100.0,1.0,0.0,9.531974792480469e-05,2.784092059515953e-06
41,128,16,10000.0,1.0,0.0,9.486675262451171e-05,1.8296198885869663e-06
42,128,64,1.0,1.0,0.0,9.877681732177735e-05,1.6066299046355674e-06
43,128,64,100.0,1.0,0.0,9.825229644775391e-05,1.354796661870515e-06
44,128,64,10000.0,1.0,0.0,9.834766387939453e-05,2.0293609083811437e-06
45,128,128,1.0,1.0,0.0,9.765625e-05,2.4412013504352958e-06
46,128,128,100.0,1.0,0.0,9.484291076660157e-05,2.3184291422163425e-06
47,128,128,10000.0,1.0,0.0,9.109973907470704e-05,2.1256724501309293e-06
