,batch_size,workers,tasks,mean,std
0,4,16,16,0.0020492377630026803,0.0084251529038706
1,4,16,64,3.08193326664825e-05,9.006543868273083e-06
2,4,16,256,2.9957156812798967e-05,7.707376106451456e-06
3,4,16,1024,3.1834884946480956e-05,5.358852042040367e-06
4,4,64,16,5.847643269353688e-05,9.370771027951516e-05
5,4,64,64,3.2499182477783347e-05,5.632736694658166e-06
6,4,64,256,3.198084692313899e-05,6.25256985212555e-06
7,4,64,1024,3.873566226989568e-05,8.662964580141901e-06
8,4,256,16,4.36725884411619e-05,2.997087498320686e-05
9,4,256,64,4.3336564625104795e-05,1.5239703640318437e-05
10,4,256,256,7.166952960479368e-05,3.5416323574442435e-05
11,4,256,1024,7.130163517285327e-05,3.370621528947117e-05
12,4,1024,16,5.097431136797665e-05,5.8056094061871066e-05
13,4,1024,64,7.340802303410259e-05,0.0001122719544347
14,4,1024,256,7.745712993964994e-05,1.821031055987064e-05
15,4,1024,1024,0.00012725490347109252,8.178195163135231e-05
16,16,16,16,5.74113741548069e-05,0.0001216610926195
17,16,16,64,3.022714713241218e-05,9.359136430662325e-06
18,16,16,256,2.9798982274290456e-05,6.580698308304216e-06
19,16,16,1024,3.4789123494358154e-05,1.0514232306759224e-05
20,16,64,16,4.39863340996983e-05,4.150581925204849e-05
21,16,64,64,3.361943435796357e-05,3.7162719284818094e-06
22,16,64,256,3.6004351628671184e-05,1.2703392948699946e-05
23,16,64,1024,4.146513377727003e-05,8.631411153208345e-06
24,16,256,16,4.329399880720037e-05,3.447140213617478e-05
25,16,256,64,4.2637184086697605e-05,7.449350255470286e-06
26,16,256,256,7.696443124429942e-05,3.870273109267539e-05
27,16,256,1024,8.285337019714636e-05,1.044980771920549e-05
28,16,1024,16,5.5570754932899775e-05,7.145900807748922e-05
29,16,1024,64,5.417611421639614e-05,9.589526020417316e-06
30,16,1024,256,0.00014126589868827358,0.0001034473350535
31,16,1024,1024,0.00014759634775823847,5.854822478887967e-05
32,64,16,16,5.3294252698478646e-05,0.0001022918958276
33,64,16,64,3.480596557033709e-05,1.1043079148825434e-05
34,64,16,256,3.145686213723186e-05,6.917262193980632e-06
35,64,16,1024,3.422211452516736e-05,6.422980591004462e-06
36,64,64,16,4.6748146842913426e-05,4.613039091359137e-05
37,64,64,64,3.8048046060592825e-05,7.481330359441829e-06
38,64,64,256,3.68425716807707e-05,6.458635652892595e-06
39,64,64,1024,5.384815752418677e-05,1.5910506208727867e-05
40,64,256,16,5.384420874694131e-05,5.664604677207882e-05
41,64,256,64,4.440066886776341e-05,6.133616252981366e-06
42,64,256,256,7.406083208085268e-05,2.9988470469716717e-05
43,64,256,1024,8.638028124232067e-05,1.2292229345364714e-05
44,64,1024,16,6.198862890837095e-05,6.224085852636639e-05
45,64,1024,64,6.669806277592434e-05,2.105040287320642e-05
46,64,1024,256,0.00013538198653133602,0.0001231277752514
47,64,1024,1024,0.00013404563671594276,1.2385839447592912e-05
48,256,16,16,4.952909144110577e-05,8.653594713296716e-05
49,256,16,64,3.209012489441278e-05,8.839640111612075e-06
50,256,16,256,3.325059201765075e-05,4.399840307015333e-06
51,256,16,1024,7.550734769782429e-05,0.0001560750444902
52,256,64,16,4.839416811990741e-05,4.939089320427274e-05
53,256,64,64,3.924183153251231e-05,7.225931831174704e-06
54,256,64,256,4.2699214199459065e-05,6.6374636235448135e-06
55,256,64,1024,6.15232778989029e-05,1.4620794598950806e-05
56,256,256,16,5.107274240675317e-05,5.708770451930486e-05
57,256,256,64,5.76915763397778e-05,1.6329845270541375e-05
58,256,256,256,7.865768171766568e-05,3.66310885817118e-05
59,256,256,1024,8.73232664341802e-05,6.568594115342165e-06
60,256,1024,16,6.615348863399244e-05,5.856146612232064e-05
61,256,1024,64,7.634498926685611e-05,2.631804195900029e-05
62,256,1024,256,0.00014358405698588708,0.0001251464186215
63,256,1024,1024,0.00013308726090822853,3.521906467665554e-05
64,1024,16,16,4.9904122659662214e-05,8.783394816475797e-05
65,1024,16,64,3.067440043161493e-05,8.379319243045348e-06
66,1024,16,256,3.353615638978605e-05,5.8056759854219145e-06
67,1024,16,1024,4.444428030576278e-05,5.6319293074692325e-06
68,1024,64,16,4.7533566340879664e-05,4.6660751431515614e-05
69,1024,64,64,4.1118425504152165e-05,7.657060529327937e-06
70,1024,64,256,4.162660994491969e-05,7.90543663767706e-06
71,1024,64,1024,6.092211977622394e-05,1.0904255583774794e-05
72,1024,256,16,5.2910182999899014e-05,5.603220094583748e-05
73,1024,256,64,5.1846800580821835e-05,9.897788732917618e-06
74,1024,256,256,7.820684264874295e-05,2.762694253311143e-05
75,1024,256,1024,8.620279441554101e-05,8.395584517316346e-06
76,1024,1024,16,6.221868188329666e-05,6.293300354654976e-05
77,1024,1024,64,8.11734218171432e-05,2.7771660906830364e-05
78,1024,1024,256,0.00015346686813066306,0.0001612240376623
79,1024,1024,1024,0.00010638867679626244,3.445075044212536e-05
